"행정구역","연도",전체,남자,여자
"전국","2026.02",51106229,25429357,25676872
"전국","2026.03",51101371,25425930,25675441
"전국","2026.04",51097986,25423432,25674554
"전국","2016",51696216,25827594,25868622
"전국","2017",51778544,25855919,25922625
"전국","2018",51826059,25866129,25959930
"전국","2019",51849861,25864816,25985045
"전국","2020",51829023,25841029,25987994
"전국","2021",51638809,25746684,25892125
"전국","2022",51439038,25636951,25802087
"전국","2023",51325329,25565736,25759593
"전국","2024",51217221,25498324,25718897
"전국","2025",51117378,25436665,25680713
"서울특별시","2026.02",9304129,4482300,4821829
"서울특별시","2026.03",9304400,4480938,4823462
"서울특별시","2026.04",9298673,4477462,4821211
"서울특별시","2016",9930616,4876789,5053827
"서울특별시","2017",9857426,4830206,5027220
"서울특별시","2018",9765623,4773899,4991724
"서울특별시","2019",9729107,4744059,4985048
"서울특별시","2020",9668465,4701723,4966742
"서울특별시","2021",9509458,4618040,4891418
"서울특별시","2022",9428372,4570048,4858324
"서울특별시","2023",9386034,4540031,4846003
"서울특별시","2024",9331828,4505355,4826473
"서울특별시","2025",9299548,4481099,4818449
"부산광역시","2026.02",3239016,1574040,1664976
"부산광역시","2026.03",3237227,1572969,1664258
"부산광역시","2026.04",3235361,1571952,1663409
"부산광역시","2016",3498529,1725607,1772922
"부산광역시","2017",3470653,1709508,1761145
"부산광역시","2018",3441453,1692421,1749032
"부산광역시","2019",3413841,1675417,1738424
"부산광역시","2020",3391946,1661000,1730946
"부산광역시","2021",3350380,1639044,1711336
"부산광역시","2022",3317812,1619915,1697897
"부산광역시","2023",3293362,1605431,1687931
"부산광역시","2024",3266598,1589912,1676686
"부산광역시","2025",3241600,1575600,1666000
"대구광역시","2026.02",2351461,1151654,1199807
"대구광역시","2026.03",2350042,1150700,1199342
"대구광역시","2026.04",2349360,1150292,1199068
"대구광역시","2016",2484557,1234169,1250388
"대구광역시","2017",2475231,1227814,1247417
"대구광역시","2018",2461769,1219342,1242427
"대구광역시","2019",2438031,1205286,1232745
"대구광역시","2020",2418346,1193109,1225237
"대구광역시","2021",2385412,1175632,1209780
"대구광역시","2022",2363691,1162865,1200826
"대구광역시","2023",2374960,1166803,1208157
"대구광역시","2024",2363629,1159601,1204028
"대구광역시","2025",2353032,1152579,1200453
"인천광역시","2026.02",3054367,1525266,1529101
"인천광역시","2026.03",3055983,1525994,1529989
"인천광역시","2026.04",3057226,1526524,1530702
"인천광역시","2016",2943069,1477671,1465398
"인천광역시","2017",2948542,1479597,1468945
"인천광역시","2018",2954642,1481844,1472798
"인천광역시","2019",2957026,1482249,1474777
"인천광역시","2020",2942828,1473943,1468885
"인천광역시","2021",2948375,1476373,1472002
"인천광역시","2022",2967314,1485175,1482139
"인천광역시","2023",2997410,1499016,1498394
"인천광역시","2024",3021010,1509243,1511767
"인천광역시","2025",3051961,1524286,1527675
"광주광역시","2026.02",1389235,685321,703914
"광주광역시","2026.03",1387619,684400,703219
"광주광역시","2026.04",1386567,683873,702694
"광주광역시","2016",1469214,728137,741077
"광주광역시","2017",1463770,725295,738475
"광주광역시","2018",1459336,722581,736755
"광주광역시","2019",1456468,720740,735728
"광주광역시","2020",1450062,717348,732714
"광주광역시","2021",1441611,713015,728596
"광주광역시","2022",1431050,707299,723751
"광주광역시","2023",1419237,700896,718341
"광주광역시","2024",1408422,695224,713198
"광주광역시","2025",1392013,686799,705214
"대전광역시","2026.02",1441405,718084,723321
"대전광역시","2026.03",1441779,718151,723628
"대전광역시","2026.04",1441687,718049,723638
"대전광역시","2016",1514370,757289,757081
"대전광역시","2017",1502227,750969,751258
"대전광역시","2018",1489936,744338,745598
"대전광역시","2019",1474870,736607,738263
"대전광역시","2020",1463882,730699,733183
"대전광역시","2021",1452251,724626,727625
"대전광역시","2022",1446072,721245,724827
"대전광역시","2023",1442216,719292,722924
"대전광역시","2024",1439157,717291,721866
"대전광역시","2025",1440729,717936,722793
"울산광역시","2026.02",1089835,561965,527870
"울산광역시","2026.03",1088672,561458,527214
"울산광역시","2026.04",1088041,561115,526926
"울산광역시","2016",1172304,603797,568507
"울산광역시","2017",1165132,599480,565652
"울산광역시","2018",1155623,593819,561804
"울산광역시","2019",1148019,589712,558307
"울산광역시","2020",1136017,583708,552309
"울산광역시","2021",1121592,576217,545375
"울산광역시","2022",1110663,570368,540295
"울산광역시","2023",1103661,567153,536508
"울산광역시","2024",1098049,564888,533161
"울산광역시","2025",1091948,562926,529022
"세종특별자치시","2026.02",391240,194784,196456
"세종특별자치시","2026.03",391072,194744,196328
"세종특별자치시","2026.04",391024,194741,196283
"세종특별자치시","2016",243048,121505,121543
"세종특별자치시","2017",280100,139734,140366
"세종특별자치시","2018",314126,156831,157295
"세종특별자치시","2019",340575,169845,170730
"세종특별자치시","2020",355831,177568,178263
"세종특별자치시","2021",371895,185678,186217
"세종특별자치시","2022",383591,191389,192202
"세종특별자치시","2023",386525,192524,194001
"세종특별자치시","2024",390685,194413,196272
"세종특별자치시","2025",391965,195107,196858
"경기도","2026.02",13742072,6899712,6842360
"경기도","2026.03",13745673,6901180,6844493
"경기도","2026.04",13751098,6903574,6847524
"경기도","2016",12716780,6395453,6321327
"경기도","2017",12873895,6475323,6398572
"경기도","2018",13077153,6577501,6499652
"경기도","2019",13239666,6659995,6579671
"경기도","2020",13427014,6754469,6672545
"경기도","2021",13565450,6827298,6738152
"경기도","2022",13589432,6839276,6750156
"경기도","2023",13630821,6855895,6774926
"경기도","2024",13694685,6882186,6812499
"경기도","2025",13730135,6894990,6835145
"강원특별자치도","2026.02",1506699,757648,749051
"강원특별자치도","2026.03",1506843,757936,748907
"강원특별자치도","2026.04",1507199,758166,749033
"강원특별자치도","2016",1550806,781146,769660
"강원특별자치도","2017",1550142,780635,769507
"강원특별자치도","2018",1543052,776456,766596
"강원특별자치도","2019",1541502,775386,766116
"강원특별자치도","2020",1542840,776505,766335
"강원특별자치도","2021",1538492,774332,764160
"강원특별자치도","2022",1536498,772947,763551
"강원특별자치도","2023",1527807,768449,759358
"강원특별자치도","2024",1517766,763025,754741
"강원특별자치도","2025",1508500,758575,749925
"충청북도","2026.02",1596816,813918,782898
"충청북도","2026.03",1597976,814682,783294
"충청북도","2026.04",1599375,815479,783896
"충청북도","2016",1591625,803240,788385
"충청북도","2017",1594432,805091,789341
"충청북도","2018",1599252,808971,790281
"충청북도","2019",1600007,810384,789623
"충청북도","2020",1600837,811591,789246
"충청북도","2021",1597427,810672,786755
"충청북도","2022",1595058,810782,784276
"충청북도","2023",1593469,810448,783021
"충청북도","2024",1591177,809920,781257
"충청북도","2025",1596502,813665,782837
"충청남도","2026.02",2136064,1097210,1038854
"충청남도","2026.03",2136826,1097453,1039373
"충청남도","2026.04",2137689,1098060,1039629
"충청남도","2016",2096727,1064765,1031962
"충청남도","2017",2116770,1076270,1040500
"충청남도","2018",2126282,1082009,1044273
"충청남도","2019",2123709,1081938,1041771
"충청남도","2020",2121029,1082634,1038395
"충청남도","2021",2119257,1083366,1035891
"충청남도","2022",2123037,1086632,1036405
"충청남도","2023",2130119,1091570,1038549
"충청남도","2024",2136574,1096128,1040446
"충청남도","2025",2136753,1097059,1039694
"전북특별자치도","2026.02",1721941,858094,863847
"전북특별자치도","2026.03",1720812,857671,863141
"전북특별자치도","2026.04",1720203,857466,862737
"전북특별자치도","2016",1864791,927505,937286
"전북특별자치도","2017",1854607,922307,932300
"전북특별자치도","2018",1836832,913297,923535
"전북특별자치도","2019",1818917,904110,914807
"전북특별자치도","2020",1804104,896874,907230
"전북특별자치도","2021",1786855,888994,897861
"전북특별자치도","2022",1769607,880592,889015
"전북특별자치도","2023",1754757,873419,881338
