"행정구역(시군구)별",2026.02,2026.02,2026.02,2026.03,2026.03,2026.03,2026.04,2026.04,2026.04,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51106229,25429357,25676872,51101371,25425930,25675441,51097986,25423432,25674554,51696216,25827594,25868622,51778544,25855919,25922625,51826059,25866129,25959930,51849861,25864816,25985045,51829023,25841029,25987994,51638809,25746684,25892125,51439038,25636951,25802087,51325329,25565736,25759593,51217221,25498324,25718897,51117378,25436665,25680713
"서울특별시",9304129,4482300,4821829,9304400,4480938,4823462,9298673,4477462,4821211,9930616,4876789,5053827,9857426,4830206,5027220,9765623,4773899,4991724,9729107,4744059,4985048,9668465,4701723,4966742,9509458,4618040,4891418,9428372,4570048,4858324,9386034,4540031,4846003,9331828,4505355,4826473,9299548,4481099,4818449
"부산광역시",3239016,1574040,1664976,3237227,1572969,1664258,3235361,1571952,1663409,3498529,1725607,1772922,3470653,1709508,1761145,3441453,1692421,1749032,3413841,1675417,1738424,3391946,1661000,1730946,3350380,1639044,1711336,3317812,1619915,1697897,3293362,1605431,1687931,3266598,1589912,1676686,3241600,1575600,1666000
"대구광역시",2351461,1151654,1199807,2350042,1150700,1199342,2349360,1150292,1199068,2484557,1234169,1250388,2475231,1227814,1247417,2461769,1219342,1242427,2438031,1205286,1232745,2418346,1193109,1225237,2385412,1175632,1209780,2363691,1162865,1200826,2374960,1166803,1208157,2363629,1159601,1204028,2353032,1152579,1200453
"인천광역시",3054367,1525266,1529101,3055983,1525994,1529989,3057226,1526524,1530702,2943069,1477671,1465398,2948542,1479597,1468945,2954642,1481844,1472798,2957026,1482249,1474777,2942828,1473943,1468885,2948375,1476373,1472002,2967314,1485175,1482139,2997410,1499016,1498394,3021010,1509243,1511767,3051961,1524286,1527675
"광주광역시",1389235,685321,703914,1387619,684400,703219,1386567,683873,702694,1469214,728137,741077,1463770,725295,738475,1459336,722581,736755,1456468,720740,735728,1450062,717348,732714,1441611,713015,728596,1431050,707299,723751,1419237,700896,718341,1408422,695224,713198,1392013,686799,705214
"대전광역시",1441405,718084,723321,1441779,718151,723628,1441687,718049,723638,1514370,757289,757081,1502227,750969,751258,1489936,744338,745598,1474870,736607,738263,1463882,730699,733183,1452251,724626,727625,1446072,721245,724827,1442216,719292,722924,1439157,717291,721866,1440729,717936,722793
"울산광역시",1089835,561965,527870,1088672,561458,527214,1088041,561115,526926,1172304,603797,568507,1165132,599480,565652,1155623,593819,561804,1148019,589712,558307,1136017,583708,552309,1121592,576217,545375,1110663,570368,540295,1103661,567153,536508,1098049,564888,533161,1091948,562926,529022
"세종특별자치시",391240,194784,196456,391072,194744,196328,391024,194741,196283,243048,121505,121543,280100,139734,140366,314126,156831,157295,340575,169845,170730,355831,177568,178263,371895,185678,186217,383591,191389,192202,386525,192524,194001,390685,194413,196272,391965,195107,196858
"경기도",13742072,6899712,6842360,13745673,6901180,6844493,13751098,6903574,6847524,12716780,6395453,6321327,12873895,6475323,6398572,13077153,6577501,6499652,13239666,6659995,6579671,13427014,6754469,6672545,13565450,6827298,6738152,13589432,6839276,6750156,13630821,6855895,6774926,13694685,6882186,6812499,13730135,6894990,6835145
"강원특별자치도",1506699,757648,749051,1506843,757936,748907,1507199,758166,749033,1550806,781146,769660,1550142,780635,769507,1543052,776456,766596,1541502,775386,766116,1542840,776505,766335,1538492,774332,764160,1536498,772947,763551,1527807,768449,759358,1517766,763025,754741,1508500,758575,749925
"충청북도",1596816,813918,782898,1597976,814682,783294,1599375,815479,783896,1591625,803240,788385,1594432,805091,789341,1599252,808971,790281,1600007,810384,789623,1600837,811591,789246,1597427,810672,786755,1595058,810782,784276,1593469,810448,783021,1591177,809920,781257,1596502,813665,782837
"충청남도",2136064,1097210,1038854,2136826,1097453,1039373,2137689,1098060,1039629,2096727,1064765,1031962,2116770,1076270,1040500,2126282,1082009,1044273,2123709,1081938,1041771,2121029,1082634,1038395,2119257,1083366,1035891,2123037,1086632,1036405,2130119,1091570,1038549,2136574,1096128,1040446,2136753,1097059,1039694
"전북특별자치도",1721941,858094,863847,1720812,857671,863141,1720203,857466,862737,1864791,927505,937286,1854607,922307,932300,1836832,913297,923535,1818917,904110,914807,1804104,896874,907230,1786855,888994,897861,1769607,880592,889015,1754757,873419,881338,1738690,866030,872660,1724856,859325,865531
"전라남도",1776547,897622,878925,1775126,897191,877935,1775031,897139,877892,1903914,951889,952025,1896424,948290,948134,1882970,943000,939970,1868745,937674,931071,1851549,930615,920934,1832803,922221,910582,1817697,915272,902425,1804217,909548,894669,1788819,902380,886439,1779135,898640,880495
"경상북도",2500499,1265562,1234937,2499357,1265615,1233742,2498364,1265190,1233174,2700398,1356868,1343530,2691706,1353164,1338542,2676831,1346689,1330142,2665836,1342037,1323799,2639422,1329211,1310211,2626609,1323661,1302948,2600492,1311881,1288611,2554324,1290298,1264026,2531384,1280547,1250837,2506526,1268493,1238033
"경상남도",3201389,1614651,1586738,3198787,1613522,1585265,3197859,1612989,1584870,3373871,1699219,1674652,3380404,1701413,1678991,3373988,1697412,1676576,3362553,1692032,1670521,3340216,1681423,1658793,3314183,1668338,1645845,3280493,1651675,1628818,3251158,1636987,1614171,3228380,1626926,1601454,3207383,1617421,1589962
"제주특별자치도",663514,331526,331988,663177,331326,331851,663229,331361,331868,641597,322545,319052,657083,330823,326260,667191,335719,331472,670989,337345,333644,674635,338609,336026,676759,339177,337582,678159,339590,338569,675252,337976,337276,670368,335255,335113,664792,332165,332627
